segment,parental,deletion,inversion,complex_non_dup,complex_dup_tandem,complex_non_tandem,dup_tandem,dup_non_tandem,repeat internal junction
01L,56,5,0,0,1,8,0,3,0
01R,45,3,6,0,1,4,0,13,0
02L,45,0,2,1,0,0,0,17,0
02R,49,0,2,1,0,0,2,10,0
03L,49,3,5,0,1,3,2,9,0
03R,53,0,5,0,0,0,0,6,0
04L,54,0,7,0,0,2,0,6,0
04R,55,0,6,2,0,0,0,6,0
05L,55,2,3,0,0,1,0,4,0
05R,57,0,1,1,0,0,0,4,0
06L,56,0,1,0,0,1,0,6,0
06R,42,4,11,1,0,1,0,10,0
07L,43,2,12,0,2,0,1,12,2
07R,45,3,10,0,0,1,4,6,2
08L,45,3,8,2,0,0,3,5,1
08R,56,1,2,0,0,0,0,4,1
09L,55,4,3,0,0,1,1,4,0
09R,61,0,2,0,0,1,1,1,0
10L,61,1,3,0,0,0,1,1,0
10R,39,10,13,0,0,1,0,9,0
11L,40,1,10,0,0,2,0,6,0
11R,28,5,15,0,2,2,1,10,0
12L,28,11,15,1,0,1,1,14,0
12R,42,12,7,0,0,0,0,6,0
13L,41,1,3,0,0,1,0,2,0
13R,21,11,6,0,0,0,0,8,0
14L,22,7,5,0,1,2,0,5,0
14R,28,4,1,0,1,0,0,2,0
15L,28,3,1,0,1,0,0,3,0
15R,32,0,0,0,0,1,0,5,0
16L,31,18,6,0,0,0,1,8,0
16R,56,0,1,0,0,0,0,0,0
17L,56,1,1,0,0,0,0,0,0
17R,51,3,1,0,0,1,0,2,0
18L,51,1,1,0,0,0,0,5,0
18R,45,2,5,0,1,2,3,8,0
19L,45,6,8,0,0,2,2,10,0
19R,61,1,0,0,0,2,0,3,0
20L,61,2,0,0,0,0,0,3,0
20R,49,15,2,0,0,0,0,7,0
21L,49,0,3,0,0,1,0,5,0
21R,44,4,6,0,0,1,0,3,0
22L,44,12,9,0,0,0,0,4,1
22R,57,2,5,0,0,0,0,1,1
23L,57,2,5,0,0,1,0,0,0
23R,55,0,7,0,0,0,1,1,0
24L,55,3,6,0,0,0,0,1,0
24R,53,7,9,0,0,1,0,0,0
25L,53,3,11,0,0,0,1,0,0
25R,53,1,6,0,0,0,0,6,0
26L,53,1,3,0,0,0,0,6,0
26R,52,5,3,0,0,0,0,4,0
27L,53,0,0,0,0,0,0,3,0
27R,24,13,15,0,1,0,2,8,2
28L,24,4,16,0,0,0,1,5,0
28R,31,5,4,0,0,1,0,6,0
29L,30,11,10,0,0,0,1,5,0
29R,45,4,1,0,0,0,0,0,0
30L,45,0,2,0,0,0,0,1,0
30R,33,14,0,0,1,0,0,1,0
31L,33,0,1,0,0,0,0,2,0
31R,15,12,8,0,0,0,0,3,0
32L,15,3,3,0,0,0,0,2,0
32R,20,0,1,0,0,0,0,0,0
33L,20,0,2,0,0,0,0,0,0
33R,17,2,0,0,0,0,1,4,0
34L,17,1,1,0,0,0,0,1,0
34R,14,6,0,0,0,0,0,0,0
35L,14,2,0,0,0,0,0,0,0
35R,12,0,2,0,0,0,0,2,0
36L,14,27,4,0,0,1,1,8,0
36R,46,0,2,0,0,0,0,1,0
37L,46,2,3,1,1,0,0,0,0
37R,43,2,5,1,0,0,0,5,0
38L,41,3,5,0,1,0,0,4,0
38R,39,1,11,0,0,0,0,4,0
39L,39,5,5,0,0,0,0,4,0
39R,39,6,6,0,0,0,0,5,0
40L,39,4,5,1,0,0,0,7,1
40R,48,1,2,0,0,0,1,2,1
41L,48,6,2,0,0,0,0,1,0
41R,48,3,4,0,1,0,1,4,0
42L,48,5,4,0,0,0,1,4,0
42R,57,0,0,0,0,0,0,1,0
43L,57,2,0,0,0,0,0,1,0
43R,56,5,3,0,0,8,0,0,0
