strain,parental,deletion,inversion,complex_non_dup,complex_dup_tandem,complex_non_tandem,dup_tandem,dup_non_tandem,repeat internal junction
JS603,25,3,10,0,0,1,0,10,0
JS621,30,3,0,0,0,0,2,0,0
JS627,38,2,0,0,0,0,0,0,0
JS706,18,1,4,0,0,1,0,6,0
JS715,29,4,2,0,0,0,0,0,0
JS599,20,4,5,0,0,2,0,14,0
JS601,30,1,0,0,0,0,0,4,0
JS606,28,5,4,0,0,0,2,0,0
JS613,12,6,6,1,0,1,2,8,0
JS609,19,5,3,1,0,2,0,12,1
JS624,30,2,4,0,0,0,0,0,0
JS612,34,3,2,0,0,0,0,0,0
JS274,38,1,2,0,0,0,0,0,0
JS721,6,3,3,0,0,0,2,6,2
JS607,26,3,9,0,0,0,0,12,0
JS716,31,1,0,0,0,0,0,0,0
JS717,37,1,0,0,0,0,0,0,0
JS611,39,0,2,0,0,0,0,0,0
JS610,36,3,0,0,0,0,0,0,0
JS617,16,5,5,0,0,2,0,14,0
JS713,23,2,1,0,0,0,0,1,0
JS615,28,0,0,0,0,2,0,6,0
JS711,22,6,8,0,0,2,2,4,0
JS734,15,1,3,0,0,1,0,7,0
JS712,32,2,1,0,0,0,0,4,0
JS736,34,2,0,0,0,0,0,0,0
JS618,27,2,2,0,0,0,0,0,0
JS730,32,2,0,0,0,0,0,0,0
JS727,31,2,4,0,0,0,0,0,0
JS718,33,1,0,0,0,0,0,0,0
JS733,32,1,2,0,0,0,0,0,0
JS602,19,5,7,2,0,0,0,6,0
JS625,40,1,0,0,0,0,0,0,0
JS710,28,6,13,0,6,0,1,1,0
JS732,28,4,5,0,0,2,0,10,1
JS614,37,1,2,0,0,0,2,0,0
JS723,28,0,1,0,0,0,0,4,0
JS738,31,1,6,0,0,0,0,0,0
JS735,17,4,9,0,0,1,0,6,0
JS726,29,3,4,0,0,0,0,0,0
JS731,27,5,9,0,0,3,0,6,0
JS622,30,2,4,0,0,0,0,0,0
JS722,29,3,2,0,0,0,0,4,0
JS626,34,1,4,0,0,0,0,0,0
JS737,23,3,0,0,0,0,0,0,0
JS739,33,2,2,0,0,0,0,0,0
JS719,28,4,2,0,0,0,0,0,0
JS714,36,1,0,0,0,0,0,0,0
JS705,29,3,1,0,0,0,0,4,0
JS571,25,2,5,0,0,0,0,1,0
JS707,34,10,11,0,2,0,1,1,0
JS720,27,1,5,0,0,0,0,4,0
JS608,32,3,2,0,0,0,0,0,0
JS623,36,2,2,0,0,0,0,0,0
JS725,33,2,0,0,0,0,0,0,0
JS724,27,3,2,0,0,0,2,0,0
JS604,21,2,2,1,0,3,0,5,0
JS605,38,2,0,0,0,0,0,0,0
JS729,26,2,3,1,0,0,1,1,0
JS728,28,1,1,0,0,0,0,1,0
JS709,12,6,9,0,0,3,0,16,1
JS708,34,2,0,0,0,0,0,0,0
JS628,33,1,0,0,0,1,0,6,1
JS629,33,2,0,0,0,0,0,0,0
