segment	slow_del	slow_present	wt_del	wt_present	p_two	p_left	p_right
1	1	6	4	54	0.445257	0.914299	0.445257
2	0	7	0	58	1	1	1
3	1	6	1	57	0.205288	0.989904	0.205288
4	1	6	1	57	0.205288	0.989904	0.205288
5	3	4	1	57	0.00305004	0.999948	0.00305004
6	3	4	0	58	0.000801282	1	0.000801282
7	0	7	0	58	1	1	1
8	0	7	4	54	1	0.626654	1
9	0	7	0	58	1	1	1
10	0	7	0	58	1	1	1
11	3	4	11	47	0.164493	0.966166	0.164493
12	0	7	0	58	1	1	1
13	3	4	16	42	0.407679	0.896334	0.330796
14	5	2	26	32	0.244265	0.960265	0.176652
15	4	3	25	33	0.690833	0.865731	0.377855
16	2	5	6	52	0.203247	0.965154	0.203247
17	2	5	6	52	0.203247	0.965154	0.203247
18	3	4	4	54	0.0229313	0.998398	0.0229313
19	0	7	0	58	1	1	1
20	0	7	0	58	1	1	1
21	2	5	7	51	0.247141	0.950382	0.247141
22	0	7	2	56	1	0.794712	1
23	0	7	3	55	1	0.70641	1
24	0	7	0	58	1	1	1
25	1	6	2	56	0.29359	0.971314	0.29359
26	1	6	4	54	0.445257	0.914299	0.445257
27	1	6	8	50	1	0.752859	0.666877
28	4	3	17	41	0.200146	0.968753	0.145103
29	2	5	13	45	0.657622	0.805404	0.514149
30	2	5	15	43	1	0.73991	0.594587
31	4	3	26	32	0.69465	0.845432	0.412207
32	3	4	39	19	0.232825	0.194073	0.951943
33	3	4	38	20	0.408489	0.221191	0.941513
34	3	4	41	17	0.200146	0.145103	0.968753
35	5	2	42	16	1	0.632044	0.705066
36	1	6	16	42	0.665503	0.405413	0.89424
37	1	6	13	45	1	0.528458	0.833702
38	2	5	13	45	0.657622	0.805404	0.514149
39	3	4	12	46	0.338069	0.955918	0.194596
40	3	4	9	49	0.11083	0.981705	0.11083
41	1	6	8	50	1	0.752859	0.666877
42	1	6	5	53	0.509977	0.878343	0.509977
43	1	6	4	54	0.445257	0.914299	0.445257
