segment	nc-cds	nc-utr	cds-cds	cds-utr	cds-nc	utr-nc	utr-utr	utr-cds	nc-nc
1	0	1	10	4	1	9	2	2	0
2	0	0	0	5	0	1	6	6	0
3	0	2	12	2	0	1	4	3	0
4	1	0	9	7	3	0	0	5	0
5	0	0	3	2	1	0	5	1	0
6	2	0	11	6	4	0	2	6	0
7	2	15	0	4	7	4	14	6	1
8	6	4	1	1	5	3	0	4	3
9	0	4	3	2	0	0	3	2	0
10	0	1	0	5	0	0	21	8	0
11	0	0	22	9	5	0	0	14	0
12	0	3	19	11	0	1	22	12	0
13	0	1	0	5	0	0	12	12	0
14	0	0	19	2	1	0	0	6	0
15	0	0	0	7	0	0	3	2	0
16	1	0	18	5	0	0	2	9	0
17	0	0	2	0	0	0	4	3	0
18	0	0	15	4	0	0	0	5	0
19	0	3	0	7	0	1	16	3	0
20	0	0	18	3	1	0	0	2	0
21	0	0	0	5	0	0	7	7	0
22	0	0	28	3	0	0	0	6	0
23	0	0	0	5	0	0	8	6	0
24	0	0	8	1	0	0	16	5	0
25	0	0	19	4	0	0	0	5	0
26	0	0	8	1	1	0	4	3	0
27	0	1	0	5	0	1	18	18	0
28	1	0	17	2	1	1	11	10	0
29	1	0	14	4	0	1	1	12	0
30	0	0	16	3	0	0	0	1	0
31	0	2	0	9	0	0	7	10	0
32	0	0	6	0	0	0	1	0	0
33	0	0	2	2	0	0	2	2	0
34	0	0	8	0	0	0	0	0	0
35	0	0	0	0	0	0	4	1	0
36	1	3	21	8	1	1	0	17	0
37	0	3	0	0	3	3	10	3	2
38	2	0	4	7	0	1	7	7	0
39	0	0	10	7	2	0	0	11	0
40	0	3	0	7	0	1	10	2	0
41	1	4	5	0	0	2	0	3	4
42	2	2	0	0	4	2	0	0	1
43	0	0	0	0	2	9	0	0	3
