segment	nc-cds	nc-utr	cds-cds	cds-utr	cds-nc	utr-nc	utr-utr	utr-cds	nc-nc
19R	0	0	0	2	0	0	0	0	0
43L	0	0	0	0	0	0	0	0	2
21R	0	0	0	1	0	0	5	6	0
38R	0	0	0	5	0	1	7	3	0
41L	0	0	5	0	0	0	0	3	0
38L	2	0	4	2	0	0	0	3	0
27L	0	0	0	0	0	0	1	0	0
35L	0	0	0	0	0	0	2	0	0
29L	1	0	13	3	0	0	0	9	0
33L	0	0	2	0	0	0	0	0	0
43R	0	0	0	0	2	1	0	0	0
01L	0	1	0	0	0	1	2	0	0
35R	0	0	0	0	0	0	2	1	0
41R	1	3	0	0	0	2	0	0	3
13R	0	1	0	5	0	0	7	7	0
13L	0	0	0	0	0	0	3	4	0
39L	0	0	4	1	0	0	0	9	0
42L	2	2	0	0	4	2	0	0	1
16L	1	0	17	5	0	0	0	8	0
04R	0	0	3	3	3	0	0	3	0
06R	2	0	11	6	3	0	0	3	0
14R	0	0	5	1	1	0	0	0	0
02L	0	0	0	3	0	0	3	4	0
10L	0	0	0	0	0	0	2	2	0
39R	0	0	6	5	2	0	0	1	0
08R	0	0	1	0	0	0	0	3	0
30R	0	0	13	2	0	0	0	0	0
11R	0	0	13	5	5	0	0	7	0
12L	0	3	0	6	0	1	18	9	0
01R	0	0	9	4	1	0	0	2	0
26L	0	0	0	0	0	0	4	2	0
26R	0	0	8	0	1	0	0	1	0
12R	0	0	17	5	0	0	0	3	0
30L	0	0	2	1	0	0	0	0	0
08L	3	4	0	0	5	3	0	0	2
24R	0	0	0	1	0	0	13	2	0
10R	0	1	0	5	0	0	18	6	0
04L	1	0	4	4	0	0	0	2	0
14L	0	0	9	1	0	0	0	5	0
06L	0	0	0	0	0	0	2	3	0
16R	0	0	0	0	0	0	1	0	0
37R	0	1	0	0	0	0	9	1	0
05L	0	0	0	2	0	0	5	1	0
36L	0	0	20	6	1	0	0	13	0
40L	0	1	0	5	0	0	5	2	0
18L	0	0	3	1	0	0	0	1	0
28L	1	0	16	1	1	0	0	5	0
33R	0	0	0	2	0	0	2	2	0
34L	0	0	2	0	0	0	0	0	0
02R	0	0	0	2	0	1	3	2	0
32L	0	0	6	0	0	0	0	0	0
31L	0	0	0	0	0	0	2	1	0
18R	0	0	10	2	0	0	0	3	0
03R	0	2	0	0	0	1	4	1	0
20R	0	0	17	2	1	0	0	1	0
40R	0	1	0	1	0	1	2	0	0
34R	0	0	6	0	0	0	0	0	0
22L	0	0	18	3	0	0	0	2	0
28R	0	0	0	0	0	1	9	5	0
36R	0	3	0	0	0	0	0	0	0
21L	0	0	0	3	0	0	2	1	0
15R	0	0	0	1	0	0	3	0	0
23L	0	0	0	4	0	0	1	2	0
32R	0	0	0	0	0	0	1	0	0
17L	0	0	1	0	0	0	0	1	0
07R	2	9	0	0	6	2	0	0	1
03L	0	0	11	2	0	0	0	2	0
25L	0	0	9	4	0	0	0	2	0
29R	0	0	0	0	0	1	1	3	0
11L	0	0	6	4	0	0	0	6	0
09R	0	0	3	0	0	0	0	0	0
15L	0	0	0	6	0	0	0	1	0
37L	0	2	0	0	3	1	0	0	1
20L	0	0	0	1	0	0	0	1	0
22R	0	0	5	0	0	0	0	3	0
19L	0	3	0	5	0	0	15	0	0
27R	0	1	0	4	0	1	13	18	0
09L	0	4	0	2	0	0	3	2	0
05R	0	0	2	0	1	0	0	0	0
24L	0	0	7	0	0	0	0	3	0
25R	0	0	6	0	0	0	0	3	0
07L	0	2	0	3	0	2	14	4	0
31R	0	2	0	7	0	0	5	7	0
17R	0	0	0	0	0	0	3	2	0
23R	0	0	0	1	0	0	6	2	0
