strain  nc-cds	nc-utr	cds-cds	cds-utr	cds-nc	utr-nc	utr-utr	utr-cds	nc-nc
JS721	3	3	2	1	0	0	4	3	0
JS621	0	0	0	1	1	0	0	1	0
JS627	0	0	1	0	0	0	0	1	0
JS715	0	0	2	0	1	1	1	1	0
JS728	0	0	1	0	1	0	1	0	0
JS599	0	1	5	2	2	1	2	4	1
JS605	0	1	0	0	0	0	0	1	0
JS613	0	2	9	4	1	3	3	2	0
JS624	0	0	3	0	0	0	2	1	0
JS727	0	0	1	1	0	0	0	4	0
JS612	0	0	2	1	0	0	2	0	0
JS274	0	0	1	1	0	0	1	0	0
JS629	0	0	0	0	0	0	1	1	0
JS714	0	0	0	0	0	0	0	1	0
JS716	0	0	0	0	0	0	0	1	0
JS717	0	0	1	0	0	0	0	0	0
JS611	0	0	1	0	0	0	1	0	0
JS610	0	0	1	0	0	0	0	2	0
JS712	0	0	0	1	0	0	2	3	0
JS713	0	0	0	0	1	0	3	0	0
JS615	0	0	4	0	0	1	0	0	0
JS711	0	0	7	0	1	1	5	5	2
JS734	0	0	2	3	0	0	2	2	0
JS738	0	0	2	1	0	0	3	1	0
JS736	0	0	0	0	0	0	2	0	0
JS737	0	1	1	0	1	0	0	0	0
JS730	0	0	0	0	0	0	2	0	0
JS731	1	1	7	4	1	1	5	7	0
JS718	0	0	0	1	0	0	0	0	0
JS733	0	0	1	0	0	0	1	1	0
JS602	0	1	6	4	1	0	3	5	0
JS625	0	0	0	0	0	0	0	1	0
JS710	1	0	11	3	3	1	4	3	2
JS732	1	2	4	3	0	1	1	5	0
JS571	0	1	3	1	0	1	2	0	0
JS614	0	1	1	0	0	0	1	0	0
JS623	0	0	1	1	0	0	1	1	0
JS607	1	0	4	4	0	0	3	6	0
JS726	0	0	2	1	0	0	0	4	0
JS606	0	0	1	2	0	0	2	5	0
JS622	0	0	3	0	0	2	1	0	0
JS618	0	0	2	0	0	0	2	0	0
JS735	0	2	9	3	0	0	9	6	0
JS626	0	0	2	0	0	0	2	1	0
JS617	1	0	5	5	2	1	4	6	0
JS739	0	0	1	1	0	0	0	2	0
JS706	0	0	2	2	0	0	3	2	0
JS708	0	0	1	0	0	0	0	1	0
JS723	0	0	1	1	0	0	1	0	0
JS722	0	0	4	0	0	0	2	2	0
JS707	1	2	7	8	1	2	2	7	0
JS720	0	0	2	1	0	0	2	2	2
JS608	0	0	1	1	0	0	1	2	0
JS609	0	0	4	5	1	0	3	5	0
JS725	0	0	1	0	0	1	0	0	0
JS724	0	1	2	0	0	0	2	1	0
JS604	0	0	3	2	1	1	5	1	0
JS705	0	0	2	2	0	0	2	0	0
JS729	0	0	1	2	0	0	1	1	0
JS719	0	0	2	1	1	0	1	1	0
JS709	1	5	11	4	0	2	5	5	0
JS601	0	0	2	0	0	0	0	1	0
JS628	0	0	3	0	0	1	1	0	0
JS603	0	2	6	4	1	0	2	2	0
