junction,parental,inversion,deletion,absent,complex
01R-02L,94,0,5,0,14
02R-03L,104,3,2,0,11
03R-04L,96,2,0,2,15
04R-05L,91,2,2,2,16
05R-06L,94,0,1,3,16
06R-07L,80,14,3,0,17
07R-08L,87,4,5,0,16
08R-09L,91,0,5,0,16
09R-10L,100,0,0,0,16
10R-11L,66,4,14,0,17
11R-12L,61,10,15,0,16
12R-13L,76,2,19,0,8
13R-14L,42,0,18,16,11
14R-15L,42,0,10,25,10
15R-16L,52,0,21,8,11
16R-17L,88,0,0,8,14
17R-18L,80,2,5,5,15
18R-19L,83,0,7,0,18
19R-20L,96,0,0,0,18
20R-21L,80,2,9,0,16
21R-22L,72,6,11,0,16
22R-23L,94,0,1,2,16
23R-24L,86,6,3,0,17
24R-25L,88,2,5,0,17
25R-26L,90,0,2,3,16
26R-27L,86,0,5,5,13
27R-28L,54,10,19,7,9
28R-29L,59,4,17,12,8
29R-30L,74,1,5,14,10
30R-31L,56,0,15,16,7
31R-32L,31,3,17,28,4
32R-33L,38,0,1,42,4
33R-34L,34,0,3,42,4
34R-35L,28,0,7,43,2
35R-36L,26,0,33,16,4
36R-37L,70,0,5,13,13
37R-38L,66,2,7,11,14
38R-39L,68,2,8,11,12
39R-40L,72,0,11,8,11
40R-41L,81,1,3,9,13
41R-42L,86,0,5,5,13
42R-43L,96,0,1,5,12
43R-01L,96,0,0,5,13
