src,dst,count,event
01L,01R,61,parental
01R,01L,61,parental
01L,02L,0,inversion
02L,01L,0,inversion
01L,02R,0,parental
02R,01L,0,parental
01L,03L,0,inversion
03L,01L,0,inversion
01L,03R,0,complex
03R,01L,0,complex
01L,04L,0,inversion
04L,01L,0,inversion
01L,04R,0,complex
04R,01L,0,complex
01L,05L,0,inversion
05L,01L,0,inversion
01L,05R,0,complex
05R,01L,0,complex
01L,06L,0,inversion
06L,01L,0,inversion
01L,06R,0,complex
06R,01L,0,complex
01L,07L,2,inversion
07L,01L,2,inversion
01L,07R,0,complex
07R,01L,0,complex
01L,08L,0,inversion
08L,01L,0,inversion
01L,08R,0,complex
08R,01L,0,complex
01L,09L,0,inversion
09L,01L,0,inversion
01L,09R,0,complex
09R,01L,0,complex
01L,10L,0,inversion
10L,01L,0,inversion
01L,10R,0,complex
10R,01L,0,complex
01L,11L,0,inversion
11L,01L,0,inversion
01L,11R,0,complex
11R,01L,0,complex
01L,12L,0,inversion
12L,01L,0,inversion
01L,12R,0,complex
12R,01L,0,complex
01L,13L,0,inversion
13L,01L,0,inversion
01L,13R,0,complex
13R,01L,0,complex
01L,14L,0,inversion
14L,01L,0,inversion
01L,14R,0,complex
14R,01L,0,complex
01L,15L,0,inversion
15L,01L,0,inversion
01L,15R,0,complex
15R,01L,0,complex
01L,16L,0,inversion
16L,01L,0,inversion
01L,16R,0,complex
16R,01L,0,complex
01L,17L,0,inversion
17L,01L,0,inversion
01L,17R,0,complex
17R,01L,0,complex
01L,18L,0,inversion
18L,01L,0,inversion
01L,18R,0,complex
18R,01L,0,complex
01L,19L,0,inversion
19L,01L,0,inversion
01L,19R,0,complex
19R,01L,0,complex
01L,20L,0,inversion
20L,01L,0,inversion
01L,20R,0,complex
20R,01L,0,complex
01L,21L,0,inversion
21L,01L,0,inversion
01L,21R,0,complex
21R,01L,0,complex
01L,22L,0,inversion
22L,01L,0,inversion
01L,22R,0,complex
22R,01L,0,complex
01L,23L,0,inversion
23L,01L,0,inversion
01L,23R,0,complex
23R,01L,0,complex
01L,24L,0,inversion
24L,01L,0,inversion
01L,24R,0,complex
24R,01L,0,complex
01L,25L,0,inversion
25L,01L,0,inversion
01L,25R,0,complex
25R,01L,0,complex
01L,26L,0,inversion
26L,01L,0,inversion
01L,26R,0,complex
26R,01L,0,complex
01L,27L,0,inversion
27L,01L,0,inversion
01L,27R,0,complex
27R,01L,0,complex
01L,28L,0,inversion
28L,01L,0,inversion
01L,28R,0,complex
28R,01L,0,complex
01L,29L,0,inversion
29L,01L,0,inversion
01L,29R,0,complex
29R,01L,0,complex
01L,30L,0,inversion
30L,01L,0,inversion
01L,30R,0,complex
30R,01L,0,complex
01L,31L,0,inversion
31L,01L,0,inversion
01L,31R,0,complex
31R,01L,0,complex
01L,32L,0,inversion
32L,01L,0,inversion
01L,32R,0,complex
32R,01L,0,complex
01L,33L,0,inversion
33L,01L,0,inversion
01L,33R,0,complex
33R,01L,0,complex
01L,34L,0,inversion
34L,01L,0,inversion
01L,34R,0,complex
34R,01L,0,complex
01L,35L,0,inversion
35L,01L,0,inversion
01L,35R,0,complex
35R,01L,0,complex
01L,36L,0,inversion
36L,01L,0,inversion
01L,36R,0,complex
36R,01L,0,complex
01L,37L,0,inversion
37L,01L,0,inversion
01L,37R,0,complex
37R,01L,0,complex
01L,38L,0,inversion
38L,01L,0,inversion
01L,38R,0,complex
38R,01L,0,complex
01L,39L,0,inversion
39L,01L,0,inversion
01L,39R,0,complex
39R,01L,0,complex
