#src	target	count	type
01L	01R	59	segment
01L	41R	1	insertion
01L	43R	8	insertion
01R	01L	9	segment
01R	02L	53	parental
01R	02R	1	inversion
01R	03L	4	deletion
01R	05L	1	deletion
01R	07R	1	inversion
01R	10R	1	inversion
01R	25R	1	inversion
01R	38R	1	inversion
02L	01R	2	segment
02L	02R	57	segment
02L	04L	1	inversion
02L	06R	1	insertion
02L	16L	1	inversion
02L	22L	1	inversion
02L	37R	1	insertion
02R	02L	7	segment
02R	03L	53	parental
02R	03R	1	inversion
02R	06R	1	inversion
02R	08L	1	deletion
02R	11R	1	inversion
03L	01R	2	insertion
03L	02L	1	inversion
03L	02R	3	segment
03L	03R	59	segment
03L	04L	2	inversion
03L	06R	1	insertion
03L	40L	1	inversion
03R	02R	1	inversion
03R	03L	9	segment
03R	04L	54	parental
03R	04R	1	inversion
03R	07R	1	inversion
03R	10R	1	inversion
03R	19L	1	deletion
04L	03L	1	inversion
04L	03R	6	segment
04L	04R	59	segment
04L	05R	1	segment
04L	07L	1	inversion
04L	15R	1	insertion
04L	18R	1	insertion
04L	19L	1	inversion
04L	40L	1	inversion
04R	01R	2	inversion
04R	02R	1	inversion
04R	04L	12	segment
04R	05L	54	parental
04R	06R	1	inversion
04R	07R	2	inversion
04R	33R	1	inversion
04R	37L	1	deletion
04R	40L	1	deletion
05L	03L	1	inversion
05L	04R	10	segment
05L	05R	56	segment
05L	07L	2	inversion
05L	10R	1	insertion
05L	38R	1	insertion
05R	05L	13	segment
05R	06L	54	parental
05R	06R	2	inversion
05R	08L	1	deletion
06L	02L	1	inversion
06L	05R	13	segment
06L	06R	54	segment
06L	09L	1	inversion
06L	11R	2	insertion
06L	36L	1	inversion
06R	02L	1	deletion
06R	06L	16	segment
06R	07L	40	parental
06R	07R	2	inversion
06R	09L	1	deletion
06R	09R	1	inversion
06R	10R	1	inversion
06R	11R	1	inversion
06R	12L	2	deletion
06R	25R	1	inversion
06R	36L	1	deletion
06R	38R	1	inversion
06R	39R	1	inversion
06R	43R	2	inversion
07L	01L	2	inversion
07L	02L	1	inversion
07L	04L	1	inversion
07L	06R	8	segment
07L	07R	49	segment
07L	08L	2	inversion
07L	08R	1	segment
07L	10L	1	inversion
07L	10R	1	insertion
07L	11L	1	inversion
07L	12L	1	inversion
07L	26L	1	inversion
07L	27R	1	insertion
07L	30R	1	insertion
07L	36L	1	inversion
07L	39L	1	inversion
07L	40L	1	inversion
07R	03R	1	inversion
07R	06R	1	inversion
07R	07L	23	segment
07R	08L	38	parental
07R	09L	4	deletion
07R	10R	1	inversion
07R	12L	1	deletion
07R	13R	1	inversion
07R	16L	1	deletion
07R	19L	1	deletion
07R	41R	1	inversion
08L	03R	1	insertion
08L	04L	1	inversion
08L	06R	1	insertion
08L	07L	1	inversion
08L	07R	15	segment
08L	08R	45	segment
08L	12L	2	inversion
08L	28L	1	inversion
08L	36L	1	inversion
08L	37L	1	inversion
08L	42L	1	inversion
08R	07L	1	parental
08R	08L	23	segment
08R	09L	43	parental
09L	04R	1	insertion
09L	06R	1	insertion
09L	07L	1	inversion
09L	08R	19	segment
09L	09R	49	segment
09R	08R	1	inversion
09R	09L	22	segment
09R	10L	48	parental
09R	11L	1	deletion
10L	08R	1	insertion
10L	09L	1	inversion
10L	09R	21	segment
10L	10R	49	segment
10L	14L	1	inversion
10R	07L	1	deletion
10R	10L	23	segment
10R	11L	35	parental
10R	11R	3	inversion
10R	12L	8	deletion
10R	12R	2	inversion
10R	13L	1	deletion
10R	13R	1	inversion
10R	14L	1	deletion
11L	03L	1	inversion
11L	06R	1	insertion
11L	07L	1	inversion
11L	10R	11	segment
11L	11R	42	segment
11L	12L	2	inversion
11L	12R	1	segment
11L	16L	2	inversion
11L	18R	1	insertion
11L	19L	1	inversion
11R	01R	1	inversion
11R	05L	1	deletion
11R	06R	1	inversion
11R	07R	2	inversion
11R	08L	3	deletion
11R	10R	1	inversion
11R	11L	18	segment
11R	12L	28	parental
11R	12R	1	inversion
11R	13R	2	inversion
11R	14L	2	deletion
11R	15L	1	deletion
11R	18R	2	inversion
12L	01R	1	insertion
12L	07L	1	inversion
12L	07R	1	insertion
12L	10R	3	insertion
12L	11L	5	inversion
12L	11R	6	segment
12L	12R	50	segment
12L	13L	1	inversion
12L	14L	1	inversion
12L	16L	1	inversion
12L	19L	2	inversion
12L	24R	1	insertion
12L	41L	1	inversion
12R	10R	1	inversion
12R	11R	4	inversion
12R	12L	21	segment
12R	13L	32	parental
12R	14L	3	deletion
12R	15L	3	deletion
12R	16L	4	deletion
12R	18L	1	deletion
12R	19L	1	deletion
12R	26R	1	inversion
13L	01R	1	insertion
13L	12L	1	inversion
13L	12R	13	segment
13L	13R	33	segment
13L	14L	2	inversion
13L	28L	1	inversion
13L	28R	1	insertion
13R	10R	1	inversion
13R	12L	1	parental
13R	13L	18	segment
13R	14L	19	parental
13R	16L	7	deletion
13R	18L	1	deletion
13R	19L	3	deletion
13R	35R	1	inversion
14L	11R	1	insertion
14L	12L	1	inversion
14L	12R	2	insertion
14L	13R	10	segment
14L	14R	28	segment
14L	20R	1	insertion
14L	25L	1	inversion
14R	10R	1	inversion
14R	14L	14	segment
14R	15L	24	parental
14R	16L	4	deletion
14R	37L	1	deletion
15L	11R	1	insertion
15L	14R	12	segment
15L	15R	29	segment
15R	02R	1	inversion
15R	14L	1	parental
15R	15L	13	segment
15R	16L	28	parental
15R	31L	1	deletion
16L	11R	1	insertion
16L	12L	1	inversion
16L	12R	2	insertion
16L	13R	3	insertion
16L	14R	2	insertion
16L	15L	1	inversion
16L	15R	11	segment
16L	16R	47	segment
16L	36L	1	inversion
16R	16L	20	segment
16R	17L	47	parental
16R	24R	1	inversion
17L	16R	20	segment
17L	17R	47	segment
17L	22L	1	inversion
17R	17L	20	segment
17R	18L	43	parental
17R	18R	1	inversion
17R	19L	3	deletion
17R	36L	1	deletion
18L	17R	20	segment
18L	18R	45	segment
18L	19L	1	inversion
18L	36L	1	inversion
18R	04L	1	deletion
18R	11R	1	inversion
18R	14L	1	deletion
18R	16L	1	deletion
18R	18L	22	segment
18R	19L	40	parental
18R	31R	2	inversion
18R	38L	1	deletion
18R	39R	1	inversion
