name	order
01L	044
01R	043
02L	042
02R	041
03L	040
03R	039
04L	038
04R	037
05L	036
05R	035
06L	034
06R	033
07L	032
07R	031
08L	030
08R	029
09L	028
09R	027
10L	026
10R	025
11L	024
11R	023
12L	022
12R	021
13L	020
13R	019
14L	018
14R	017
15L	016
15R	015
16L	014
16R	013
17L	012
17R	011
18L	010
18R	009
19L	008
19R	007
20L	006
20R	005
21L	004
21R	003
22L	002
22R	001
23L	088
23R	087
24L	086
24R	085
25L	084
25R	083
26L	082
26R	081
27L	080
27R	079
28L	078
28R	077
29L	076
29R	075
30L	074
30R	073
31L	072
31R	071
32L	070
32R	069
33L	068
33R	067
34L	066
34R	065
35L	064
35R	063
36L	062
36R	061
37L	060
37R	059
38L	058
38R	057
39L	056
39R	055
40L	054
40R	053
41L	052
41R	051
42L	050
42R	049
43L	048
43R	047
44L	046
44R	045
